年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201502,臺灣,行,博士,118341,125185487
201502,臺灣,行,碩士,1164972,1143361621
201502,臺灣,行,大學,4046930,3635943626
201502,臺灣,行,專科,2067262,1825607288
201502,臺灣,行,高中高職,2848321,2605363297
201502,臺灣,行,其他,2520809,2383251941
201502,臺灣,文教康樂,博士,41392,316387605
201502,臺灣,文教康樂,碩士,514573,2806104472
201502,臺灣,文教康樂,大學,1811068,8771780129
201502,臺灣,文教康樂,專科,623582,3929395929
201502,臺灣,文教康樂,高中高職,692922,4264319214
201502,臺灣,文教康樂,其他,792690,4730396452
201502,臺灣,百貨,博士,57676,168470150
201502,臺灣,百貨,碩士,682629,1969510412
201502,臺灣,百貨,大學,2484034,7132697637
201502,臺灣,百貨,專科,1016452,2918935278
201502,臺灣,百貨,高中高職,1105030,3446345232
201502,臺灣,百貨,其他,1358102,4223391234
201502,臺灣,其他,博士,103612,388721885
201502,臺灣,其他,碩士,1237647,3925430327
201502,臺灣,其他,大學,5005992,15104738810
201502,臺灣,其他,專科,2241310,7461325967
201502,臺灣,其他,高中高職,3114802,10273728098
201502,臺灣,其他,其他,2559485,8539286484
201503,臺灣,食,博士,143546,183011952
201503,臺灣,食,碩士,1357302,1780083570
201503,臺灣,食,大學,4508642,5708043785
201503,臺灣,食,專科,2216226,2639991490
201503,臺灣,食,高中高職,2618024,3287573799
201503,臺灣,食,其他,2745617,3678566159
201503,臺灣,衣,博士,9850,29369651
201503,臺灣,衣,碩士,148940,415091726
201503,臺灣,衣,大學,682165,1817927421
201503,臺灣,衣,專科,291420,816186409
201503,臺灣,衣,高中高職,376240,1089396527
